N6705B Exported scope view data

"Scope.offset: 217"
"Scope.points: 8192"
"Scope.tint: 0.00292864"


Voltage 1,Current 1
3.30009,0.00112405
3.30009,0.00111655
3.2999,0.00114119
3.30086,0.00114548
3.29971,0.00111976
3.2999,0.00114226
3.30067,0.00114441
3.30029,0.00114119
3.30048,0.00113048
3.30009,0.00111547
3.29952,0.00117012
3.30029,0.00114441
3.30067,0.00115084
3.29952,0.00114119
3.29971,0.00113905
3.30048,0.00112619
3.2999,0.00114334
3.30029,0.00117227
3.30009,0.00113905
3.2999,0.00115405
3.30086,0.00113583
3.30067,0.00118084
3.30048,0.00113369
3.30009,0.00115084
3.30105,0.00119906
3.30048,0.0165575
3.30067,0.0174801
3.2999,0.0169829
3.30467,0.00617424
3.30029,0.00387577
3.30009,0.00386934
3.29952,0.00385541
3.30009,0.00451227
3.30048,0.0269193
3.30009,0.0253817
3.30048,0.0270533
3.29971,0.0254567
3.29952,0.025567
3.30048,0.027064
3.2999,0.0266836
3.30067,0.0264157
3.30048,0.0266397
3.29952,0.0265968
3.30009,0.0258831
3.2999,0.0269997
3.30067,0.026165
3.30029,0.0193607
3.30048,0.0255724
3.30067,0.02666
3.30067,0.0262507
3.30029,0.0198011
3.29952,0.0254695
3.30009,0.0255574
3.29952,0.0262368
3.30009,0.0263311
3.30009,0.0169379
3.29971,0.0236865
3.30086,0.0244312
3.30048,0.0237058
3.30009,0.0169325
3.30009,0.0240037
3.2999,0.0243219
3.30009,0.0235365
3.29952,0.0241644
3.30029,0.0229503
3.30009,0.0228807
3.30067,0.0245598
3.2999,0.0229321
3.30029,0.0245137
3.29952,0.0491742
3.30048,0.0488335
3.30067,0.0485988
3.30048,0.0485902
3.30009,0.0487735
3.30009,0.0486888
3.30029,0.0487199
3.30009,0.0488399
3.30029,0.0486985
3.30105,0.0487574
3.30009,0.0487735
3.30009,0.0487745
3.30048,0.0487135
3.30029,0.0486674
3.30009,0.0489171
3.30009,0.0488817
3.30067,0.0488356
3.30048,0.0489417
3.30009,0.0490124
3.30048,0.0488206
3.29971,0.0489224
3.30067,0.0488485
3.29933,0.0489106
3.2999,0.0489481
3.30048,0.0490703
3.29895,0.0490371
3.29933,0.0489514
3.30009,0.0489267
3.29971,0.0490735
3.30029,0.049395
3.29876,0.0492985
3.29952,0.0491239
3.30067,0.0492771
3.29971,0.0492675
3.30048,0.0491507
3.29914,0.0491839
3.29704,0.0475594
3.29971,0.0493125
3.30048,0.0492867
3.29971,0.0493082
3.30048,0.0492567
3.30067,0.0492053
3.30029,0.0493918
3.29971,0.0491924
3.29933,0.0493628
3.30048,0.0494314
3.30067,0.0491378
3.29952,0.0493082
3.2999,0.0492792
3.30048,0.0493735
3.29971,0.04935
3.29952,0.0493392
3.29971,0.0495032
3.30029,0.0493639
3.30105,0.0494121
3.2999,0.0493478
3.29971,0.0494646
3.2999,0.0492514
3.30009,0.0492439
3.30048,0.0494539
3.29914,0.0493982
3.30029,0.0492975
3.30029,0.0494271
3.30067,0.0493596
3.30105,0.0493285
3.30029,0.0493896
3.29971,0.0496018
3.2999,0.049485
3.29933,0.0494207
3.30048,0.04947
3.30029,0.0493489
3.29971,0.049441
3.30048,0.0494732
3.30029,0.0495536
3.30029,0.0494743
3.29971,0.0493671
3.2999,0.0495021
3.29952,0.0496157
3.30067,0.0494828
3.30029,0.0494807
3.30086,0.0500743
3.29971,0.0494014
3.29933,0.0494218
3.30105,0.0494796
3.2999,0.0494207
3.29952,0.0494785
3.30029,0.0496554
3.30048,0.0494689
3.30048,0.0494271
3.30086,0.0495728
3.29971,0.0495825
3.2999,0.0495857
3.30029,0.0494528
3.29895,0.0494743
3.29914,0.0493832
3.29952,0.04944
3.2999,0.0496211
3.29914,0.0494646
3.30009,0.0496393
3.30067,0.0493993
3.30029,0.0495739
3.30105,0.0405997
